,Peak 1,Peak 2,Peak 3,Peak 4
Blue,93.206,6.029,9.580,10.142
Green,4.225,90.548,39.173,1.526
Purple,0.010,1.202,41.267,0.829
Orange,2.559,2.221,9.979,87.504
