,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,1.2558,0.1944,0.0429,0.0273,0.0659,0.0457,0.0770
r_e error,0.1831,0.8150,5.4434,17.1053,0.6279,4.3338,0.7907
n error,0.8076,0.4360,0.9675,0.6965,0.0555,0.1612,0.0917
x_0 error,0.0850,0.0952,0.1373,5.0021,0.9944,5.1790,1.0851
