,Component 1,Component 2,Component 3,Component 4
I_e error,0.0162,0.1067,0.1524,6.5646
r_e error,170.8783,0.3820,1.7577,3.0984
n error,1.4797,0.1236,1.1318,0.6769
x_0 error,0.0005,0.1837,0.4021,0.3779
