,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,1.5492,0.3438,0.0337,0.0464,0.5513,0.2130,0.5603
r_e,1.0207,3.1100,5.6955,48.8727,6.3944,7.8801,3.8379
n,0.2676,1.5183,1.7988,0.8016,0.3185,0.1670,0.2427
x_0,61.1711,97.3663,19.5653,62.6409,55.2591,72.4410,91.8302
