,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.2029,0.7213,0.0684,0.0895,0.0171
r_e,4.0193,4.4275,34.8757,5.5246,18.2014
n,1.3872,0.4702,1.6641,2.7767,3.4075
x_0,36.1972,52.7304,60.5817,68.1043,81.2746
