,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,0.2682,0.0382,0.0365,0.2738,0.0891,0.0337,3771993.8221
r_e error,3.8987,5.5044,1.5807,123.1874,0.5317,59.9897,14.3763
n error,0.4610,0.3460,0.2368,39.3113,0.1395,0.4884,6245707.7202
x_0 error,0.1410,0.0885,0.2758,0.0090,0.5878,0.6236,6.8936
