,Component 1,Component 2,Component 3,Component 4
I_e,0.0671,0.3973,0.1868,0.2084
r_e,64.8528,3.0853,3.5915,0.8785
n,1.9348,0.6528,0.2554,1.1402
x_0,56.2213,86.5404,14.5006,35.7430
