,Component 1,Component 2,Component 3,Component 4
I_e error,0.0301,0.1202,0.0632,2.0370
r_e error,22.6824,0.4742,0.5235,2.4767
n error,0.3390,0.2360,0.2831,10.8531
x_0 error,0.0481,0.1681,0.4700,0.2842
