,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,0.1675,0.0798,0.0284,0.0770,0.0159,0.0304
r_e error,0.3740,0.5358,0.3073,4.1953,10.6364,0.5006
n error,0.2856,0.1856,0.1751,0.8018,0.0917,0.0260
x_0 error,0.0985,0.0807,0.2592,0.1512,12.2353,0.2028
