,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.3865,0.0779,0.1214,0.0100,0.3094,0.0319,5.2556
r_e,5.2341,12.8202,5.2270,7.1234,3.3900,75.1151,0.0000
n,0.8612,1.8216,0.6328,3.6752,0.4457,1.7549,7.8197
x_0,56.3490,86.3546,14.8863,35.8965,66.9312,48.0825,30.9205
