,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0481,0.0373,0.0391,0.0121,0.0976
r_e error,0.8785,9.1642,0.4850,660.4049,0.4545
n error,0.0843,0.4507,0.1708,1.8617,0.2695
x_0 error,0.1575,0.1064,0.3192,0.0041,0.2631
