,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,0.4697,0.3339,0.1775,0.0710,0.1976,0.5244
r_e,2.1543,3.2685,3.4941,5.2055,42.9021,10.0085
n,0.5356,0.7935,0.2154,1.3699,0.1676,0.1439
x_0,56.1288,86.2450,14.2682,35.9212,65.1833,57.6877
