,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,,,
Spettro_4,0.376,0.006,0.016
Spettro_5,-1.839,-0.025,0.013
Spettro_6,2.178,0.062,0.028
Spettro_7,52.565,0.787,0.015
Spettro_8,52.127,1.072,0.021
Spettro_9,30.121,0.753,0.025
Spettro_10,48.350,4.901,0.101
Spettro_11,60.015,3.352,0.056
Spettro_12,35.825,1.209,0.034
Spettro_13,4.633,0.107,0.023
Spettro_14,14.320,0.414,0.029
Spettro_15,8.183,0.164,0.020
Spettro_16,2.870,0.052,0.018
Spettro_17,10.883,0.164,0.015
Spettro_18,,,
Spettro_19,,,
Spettro_20,,,
