,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,,,
Spettro_4,-0.493,-0.005,0.010
Spettro_5,-0.362,-0.006,0.015
Spettro_6,8.922,0.094,0.011
Spettro_7,38.824,0.596,0.015
Spettro_8,23.743,0.501,0.021
Spettro_9,41.705,0.776,0.019
Spettro_10,49.581,3.001,0.061
Spettro_11,52.812,1.514,0.029
Spettro_12,22.363,0.474,0.021
Spettro_13,9.211,0.141,0.015
Spettro_14,22.110,0.234,0.011
Spettro_15,4.315,0.085,0.020
Spettro_16,4.779,0.059,0.012
Spettro_17,2.194,0.030,0.013
Spettro_18,,,
Spettro_19,,,
Spettro_20,,,
