,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,,,
Spettro_4,3.280,0.041,0.012
Spettro_5,2.640,0.049,0.019
Spettro_6,5.307,0.132,0.025
Spettro_7,32.047,0.631,0.020
Spettro_8,17.157,0.682,0.040
Spettro_9,10.690,0.347,0.032
Spettro_10,10.093,1.308,0.130
Spettro_11,14.427,0.751,0.052
Spettro_12,12.456,0.543,0.044
Spettro_13,3.817,0.141,0.037
Spettro_14,10.636,0.358,0.034
Spettro_15,6.100,0.111,0.018
Spettro_16,4.160,0.063,0.015
Spettro_17,4.802,0.099,0.021
Spettro_18,,,
Spettro_19,,,
Spettro_20,,,
