,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,,,
Spettro_4,1.857,0.034,0.018
Spettro_5,5.668,0.066,0.012
Spettro_6,8.852,0.190,0.021
Spettro_7,39.198,0.990,0.025
Spettro_8,30.685,0.804,0.026
Spettro_9,72.121,1.511,0.021
Spettro_10,63.618,4.041,0.064
Spettro_11,98.898,1.984,0.020
Spettro_12,28.891,0.857,0.030
Spettro_13,14.930,0.394,0.026
Spettro_14,29.156,0.439,0.015
Spettro_15,8.307,0.167,0.020
Spettro_16,3.328,0.080,0.024
Spettro_17,6.657,0.110,0.016
Spettro_18,,,
Spettro_19,,,
Spettro_20,,,
