,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,,,
Spettro_4,5.211,0.045,0.009
Spettro_5,4.335,0.066,0.015
Spettro_6,23.392,0.225,0.010
Spettro_7,123.627,1.897,0.015
Spettro_8,72.421,1.395,0.019
Spettro_9,124.114,2.529,0.020
Spettro_10,141.618,9.389,0.066
Spettro_11,163.304,4.275,0.026
Spettro_12,68.315,1.587,0.023
Spettro_13,33.102,0.463,0.014
Spettro_14,64.435,0.682,0.011
Spettro_15,13.034,0.234,0.018
Spettro_16,11.600,0.131,0.011
Spettro_17,6.283,0.093,0.015
Spettro_18,,,
Spettro_19,,,
Spettro_20,,,
