Line,Flux,Error flux
Hgamma,0.22680001900081107,0.013649548393619936
Hbeta,0.8702561447164403,0.05068400401703187
Halpha,7.350334319491982,0.04388050224201046
[SII]6716,1.0866978632666864,0.018267605824180175
[SII]6731,0.9189746382246718,0.016392626863771197
HeII4687,0.018885996350624698,0.008737953788904271
HeI5876,0.18976247661641432,0.029059118878258246
[OIII]5007_d,0.8382379338200692,0.016364880364346465
[OI]6300_d,0.23999586261261457,0.018474053347860314
[NII]6583_d,2.691183968169293,0.05405700089198411
