,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,,,
Spettro_4,0.557,0.009,0.017
Spettro_5,6.030,0.070,0.012
Spettro_6,7.135,0.153,0.021
Spettro_7,32.619,0.824,0.025
Spettro_8,24.026,0.629,0.026
Spettro_9,49.905,1.045,0.021
Spettro_10,50.013,3.177,0.064
Spettro_11,71.093,1.426,0.020
Spettro_12,21.662,0.643,0.030
Spettro_13,10.852,0.286,0.026
Spettro_14,17.748,0.267,0.015
Spettro_15,7.263,0.146,0.020
Spettro_16,3.044,0.073,0.024
Spettro_17,5.968,0.098,0.016
Spettro_18,,,
Spettro_19,,,
Spettro_20,,,
