,SNR,Signal,Noise
Spettro_1,,,
Spettro_2,,,
Spettro_3,,,
Spettro_4,9.302,0.081,0.009
Spettro_5,6.396,0.107,0.017
Spettro_6,57.611,0.554,0.010
Spettro_7,422.827,7.107,0.017
Spettro_8,205.088,4.329,0.021
Spettro_9,322.668,6.002,0.019
Spettro_10,352.287,21.322,0.061
Spettro_11,460.716,13.212,0.029
Spettro_12,196.236,4.160,0.021
Spettro_13,78.355,1.095,0.014
Spettro_14,196.788,2.281,0.012
Spettro_15,35.920,0.644,0.018
Spettro_16,29.523,0.364,0.012
Spettro_17,26.339,0.355,0.013
Spettro_18,,,
Spettro_19,,,
Spettro_20,,,
