,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.057,0.055,0.082,0.054
Continuum_2,0.041,0.035,0.050,0.036
Continuum_3,0.031,0.031,0.036,0.022
