,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,0.3064,0.8869,0.7036,0.0586,0.1054,0.5155
r_e error,23.5104,1.5621,11.1906,2.7903,153.2310,22.3681
n error,4.9790,1.6141,0.3697,0.3644,1.5654,2.4350
x_0 error,0.0072,1.4659,9.3126,3.6623,53.4157,0.1517
