,Component 1,Component 2,Component 3,Component 4
I_e error,0.0758,0.2704,0.1186,0.0162
r_e error,35.5399,2.1953,2.5480,243.7786
n error,3.9763,0.8231,0.2576,1.4956
x_0 error,0.0030,0.0999,0.1610,0.4641
