,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.1135,0.1730,0.0146,0.1112,219885.3556
r_e error,14.6011,37.4853,6.3121,3.0509,619.1217
n error,4.5701,4.4541,0.1644,1.2149,448842.7272
x_0 error,0.0007,0.0853,0.1451,0.4108,75.2759
