,Component 1,Component 2,Component 3,Component 4
I_e,0.0264,0.2872,0.3187,0.0074
r_e,20.1679,4.0812,8.7316,133.7891
n,3.4432,1.5518,1.0393,2.3938
x_0,32.6737,46.2967,62.3020,79.3632
