,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8
I_e error,1.9728,42.1786,0.0740,0.0780,341.4075,0.0942,3.1290,990.3979
r_e error,78.1569,68.5081,763.8951,2.0134,218.3492,8.4096,225.8678,3520.9484
n error,182.7066,158.0132,2.1103,0.5371,2762.6420,0.3673,0.9280,28518.7568
x_0 error,0.0044,0.1786,939.4194,0.3722,0.7654,0.2093,216.3280,2.8812
