,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0310,0.2523,0.0444,0.0835,0.0245
r_e error,0.6237,0.5329,2.6065,1.7115,2.3391
n error,0.0757,0.2181,0.2704,0.0847,0.1939
x_0 error,0.0786,0.2500,0.9718,2.6172,0.1437
