,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0151,0.1283,0.0161,0.0365,0.0225
r_e error,0.5852,0.4994,0.6819,5.4341,0.2893
n error,0.0685,0.1854,0.0520,0.0772,0.1718
x_0 error,0.0723,0.0774,0.4820,2.0625,0.1696
