,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0616,0.0283,0.0917,0.0312,0.0134
r_e error,0.2845,1.7773,0.7174,0.2931,0.7433
n error,0.0529,0.1475,0.1316,0.0367,0.0873
x_0 error,0.1491,1.4379,0.0810,0.4051,0.1105
