,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.4918,0.3648,1.9724,1.0548,0.2689
r_e error,0.3770,2.6307,0.5322,0.8370,0.6617
n error,0.0681,0.1303,0.6256,0.1431,0.0867
x_0 error,0.0427,0.0453,0.2772,0.1334,0.2963
