,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.6848,0.1386,0.4655,0.5300,0.1100
r_e,3.5342,12.9760,4.6996,5.0096,9.3562
n,0.6758,0.7776,1.1560,0.3062,1.1772
x_0,28.1107,31.8704,49.3454,57.6753,72.2031
