,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0495,0.4540,0.1625,4.1744,0.0352
r_e error,0.2676,0.4622,1.0171,2.1298,1.1568
n error,0.0490,0.3137,0.1014,5.2196,0.1742
x_0 error,0.0597,0.1055,0.3500,0.3498,0.0776
