,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,27.662,0.012,0.001,0.000,0.000
Green,57.768,73.923,33.159,28.558,59.647
Magenta,14.551,26.031,66.635,46.105,38.485
Orange,0.019,0.035,0.206,25.337,1.828
Chocolate,0.000,0.000,0.000,0.000,0.040
