,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,83.500,4.512,1.717,2.235,6.604
Green,13.881,77.713,4.377,1.701,1.657
Purple,1.528,15.424,83.059,12.551,1.114
Orange,1.091,2.350,10.847,83.513,89.694
Chocolate,0.000,0.000,0.000,0.000,0.932
