,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,24.551,0.008,0.000,0.000,0.000
Green,59.590,75.978,29.276,26.986,60.906
Purple,15.839,23.982,70.461,41.276,37.408
Orange,0.020,0.032,0.262,31.737,1.623
Chocolate,0.000,0.000,0.000,0.000,0.063
