,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,54.056,0.291,0.015,0.005,0.002
Green,21.725,68.464,12.684,9.008,6.451
Purple,24.219,31.245,87.301,89.850,93.547
Orange,0.000,0.000,0.000,1.137,0.000
Chocolate,0.000,0.000,0.000,0.000,0.000
