,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,48.819,0.304,0.000,0.000,0.000
Green,28.207,67.577,13.552,14.163,17.875
Purple,22.974,32.119,86.448,84.936,82.125
Orange,0.000,0.000,0.000,0.900,0.000
Chocolate,0.000,0.000,0.000,0.000,0.000
