,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,38.504,0.609,0.021,0.006,0.002
Green,30.352,63.536,15.764,9.154,6.518
Purple,31.144,35.856,84.215,90.218,93.479
Orange,0.000,0.000,0.000,0.622,0.000
Chocolate,0.000,0.000,0.000,0.000,0.000
