,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,94.411,2.971,0.517,0.486,0.103
Green,0.648,83.523,0.220,0.005,0.000
Purple,3.221,11.418,95.014,32.772,2.878
Orange,1.720,2.088,4.249,66.737,8.611
Chocolate,0.000,0.000,0.000,0.000,88.408
