,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,88.264,5.126,1.849,2.194,6.393
Green,9.852,76.667,6.136,1.809,1.660
Magenta,0.990,15.805,83.809,15.346,1.264
Orange,0.893,2.403,8.206,80.651,89.944
Chocolate,0.000,0.000,0.000,0.000,0.739
