,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0338,0.0871,16.2540,0.0469,0.0138
r_e error,71.9560,26.7451,48.8143,32.0384,3.2897
n error,1.4759,0.4872,409.3770,0.9589,0.2349
x_0 error,0.1394,22.1803,0.0349,3.3554,2.1850
