,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.1350,0.1031,0.1375,0.0663,0.0312
r_e,9.7307,1.8375,7.7812,14.1362,17.0264
n,1.5454,3.4224,0.4786,1.2243,0.8848
x_0,27.0221,61.2111,47.9541,68.1128,102.0917
