,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0402,3.3160,0.0469,0.3164,0.0075
r_e error,28.0185,375.7567,6.0879,7.2808,2.7483
n error,1.2482,337.6660,0.2331,6.6239,0.1707
x_0 error,0.1369,0.0071,15.0196,0.4537,2.0718
