,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.0556,0.0751,0.0647,0.0999,0.0292
r_e,5.6501,2.7340,32.4238,1.8742,9.9665
n,0.9893,3.4923,0.7033,0.1167,0.1720
x_0,27.8402,61.4194,49.9633,69.5815,104.6712
