,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0251,0.0070,3.9499,0.0206,0.0075
r_e error,0.1536,3.8665,2.2095,4.4240,41.0393
n error,0.0540,0.0870,8.7846,0.5219,0.7524
x_0 error,0.0289,0.3261,0.0329,0.1627,0.2789
