,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,15.370,21.049,17.066,20.909,10.401
Continuum_2,13.590,20.962,18.531,19.994,13.440
Continuum_3,15.559,27.914,23.134,25.251,12.857
