Name,Flux,Error flux
Hgamma,1.5851569009787139,0.09993625862577027
Hbeta,3.845898312522852,0.19603545809019027
Halpha,13.72165703472494,0.11529696396854451
[SII]6716,2.4968699532067014,0.05892969156232521
[SII]6731,1.9622655063245138,0.05138023608187323
HeII4687,0.08358761434923624,0.012570190253039785
HeI5876,0.4185894573838188,0.01748764850874755
[OIII]5007_d,1.2995980707661052,0.12466439177749926
[OI]6300_d,0.474304666208533,0.042329872042385384
[NII]6583_d,7.583527849747407,0.1493855694542014
