,SNR,SNR,SNR,SNR,SNR,Signal,Signal,Signal,Signal,Signal,Noise,Noise,Noise,Noise,Noise
,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,15.370,21.049,17.066,20.909,10.401,0.511,0.496,0.391,0.380,0.089,0.033,0.024,0.023,0.018,0.009
Continuum_2,13.590,20.962,18.531,19.994,13.440,0.329,0.464,0.291,0.320,0.087,0.024,0.022,0.016,0.016,0.006
Continuum_3,15.559,27.914,23.134,25.251,12.857,0.217,0.397,0.240,0.251,0.079,0.014,0.014,0.010,0.010,0.006
