,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.041,0.063,0.168,0.273,0.106
Continuum_2,0.038,0.049,0.133,0.250,0.102
Continuum_3,0.031,0.037,0.102,0.218,0.094
