,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,4.426,6.298,12.705,17.134,11.461
Continuum_2,6.480,7.947,13.763,17.734,12.765
Continuum_3,3.203,6.590,13.110,20.023,14.890
