,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,0.1404,0.1914,0.5349,0.3244,0.1830,0.0550
r_e error,0.6214,0.4202,2.2241,0.1911,47.1526,21.8157
n error,0.1360,0.0408,0.6125,0.1526,1.6746,0.3290
x_0 error,0.0619,0.3442,0.0572,0.0619,0.0663,25.7990
