,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.8571,2.2497,0.3111,0.0819,0.0136
r_e,4.1605,5.2092,8.5967,15.5948,117.1408
n,1.1296,0.4263,2.3710,3.1210,2.9656
x_0,34.5346,51.8322,66.3620,79.5475,58.8702
