,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,0.0861,0.2006,0.6932,0.4988,2075.2189,0.0139,0.5544
r_e error,0.4440,0.2002,0.5749,0.3477,1564.3566,205.8493,2.1712
n error,0.1034,0.0396,0.2843,0.2545,1257870.5717,0.8640,0.0553
x_0 error,0.0481,0.1306,0.0471,0.3761,69.8205,0.8457,2.3360
