,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,0.6621,2.3135,1.9411,1.2576,0.0091,0.0100,0.0484
r_e,5.3211,5.5076,2.3171,2.4501,0.0057,189.4595,18.4467
n,1.3157,0.3695,0.9545,0.9817,4.3637,2.1184,0.0266
x_0,34.6124,53.1889,66.4016,79.7112,98.8266,90.3360,60.4940
