,Component 1,Component 2,Component 3,Component 4
I_e,0.9353,2.4830,0.0195,1.7291
r_e,3.9222,5.5514,120.8682,2.0588
n,1.0612,0.3700,4.1393,0.6738
x_0,34.5419,52.4715,66.3466,79.5663
