,Component 1,Component 2,Component 3,Component 4
I_e error,0.1347,0.1007,0.0199,0.3601
r_e error,0.3215,0.1145,79.9617,0.1872
n error,0.1171,0.0283,1.0440,0.1766
x_0 error,0.0638,0.0942,0.0001,0.0597
