,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,0.8182,2.1413,0.6435,1.7723,0.0753,0.2056
r_e,4.2409,5.0580,5.0436,2.0946,39.0949,11.3589
n,1.1656,0.4349,1.7851,0.6465,1.9910,0.1629
x_0,34.5256,51.6376,66.3860,79.4785,58.5979,81.9092
