,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.1775,0.1640,0.3153,0.0677,0.1107
r_e error,0.6772,0.3711,7.0635,9.8184,623.2354
n error,0.1644,0.0441,0.7732,0.6735,6.1815
x_0 error,0.0730,0.3261,0.0644,0.0653,0.0134
