,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.062,0.068,0.062,0.058
Continuum_2,0.038,0.044,0.043,0.035
Continuum_3,0.033,0.039,0.037,0.031
