,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,7.826,9.663,10.691,5.970
Continuum_2,12.658,14.206,15.159,11.116
Continuum_3,12.305,14.041,15.209,10.785
