,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.3003,0.6856,0.1134,0.0376,0.0477
r_e error,0.2483,4.2700,2.4848,5.1914,430.2187
n error,0.1499,1.0738,0.1697,0.4494,2.0965
x_0 error,0.0374,0.0871,2.2246,0.2584,1.1444
