,SNR,Signal,Noise
Component_1,129.264,12.424,0.096
Component_2,-0.065,-0.036,0.564
Component_3,52.708,19.841,0.376
Component_4,80.832,11.579,0.143
Component_5,101.526,16.804,0.166
Component_6,27.040,2.923,0.108
