,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,0.541,12.776,5.074,2.088,1.145,0.183
Continuum_2,0.462,13.897,5.242,1.944,1.367,0.199
Continuum_3,0.367,12.553,5.192,1.968,1.259,0.238
