,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,0.073,0.707,0.234,0.131,0.101,0.056
Continuum_2,0.058,0.671,0.317,0.193,1.074,0.054
Continuum_3,0.065,0.650,0.168,1.706,0.085,0.621
